sentiment,processed_reviews
negative,expecting lot mramitabh bachans role sarkar disappointed ram gopal vermas direction ready kind movie sarkar supposed strong character movie shows amitabh dependent others power rather movie tamil called nayakan based theme god father kamala hassan played lead movie well directed power till end remains hands kamala hassan son amitabh bachan seems helpless movie accepts everything instead changing things movie fails show strong impact god father
positive,trio buddies sergeants british army carouse brawl way across imperial india intensely loyal meet greatest deadly challenge encounter resurgence hideous cult demented implacable guru must rely lowliest servant regiment water carrier gunga din save scores queens soldiers certain massacrebased three musketeers kiplings classic poem wonderful adventure epic worthy entry hollywoods golden year filled suspense humor keeping romantic interludes barest minimum grips interest viewer holds right sentimental conclusionit practically fruitless discuss performance nuances three stars cary grant victor mclaglen douglas fairbanks jr really thirds single organism inseparable intents purposes indistinguishable however diminishes nothing great fun simply watching glorious timeits interesting note parenthetically mclaglen boasted distinguished world war one military career fairbanks would sterling record world war two mostly clandestine affairs earning fewer honorary knighthoods conflict grant reportedly worked undercover british intelligence keeping eye hollywood nazi sympathizersthe real acting laurels go sam jaffe heartbreaking title role infuses humble man radiant dignity enormous courage making last line kiplings poem ring true unforgettablemontague love properly stalwart regimental major whilst eduardo ciannelli evil incarnate thuggee guru rest cast joan fontaine robert coote lumsden hare effective little movie mavens recognize cecil kellaway tiny role miss fontaines fatherthe film picks villains well demonic thuggee cult worshipers hideous bloodsoaked kali hindu goddess destruction bane indian life centuries ritualistically strangling victims year british military cooperation number princely states succeeded ultimately suppressing religion henceforth would remain stuff novels nightmares
negative,movie pretty much sucked army soldiers depicted movie horrible military see movie laugh upset entire movie way acted squad ridiculous acted like bunch normal people army uniforms knowing pretty gory movie id say least couple scenes try make jump id recommend seeing bored want see violent gory movie better movie also military also would say liked first one better one
negative,watched pulp fiction see movie movie funny worst parody movie ever poor attempt parody filmsthe cast bad film bad one worst pictures ever madei recommend plump fiction prefer original pulp fiction great quentin tarantino one worst parody films ever madeplump fiction good movie funny dumb vulgar
negative,went see passion mind usually get kick genre alternate reality romances ie sliding doors etc worst one ever seen force sit even stay credits unheard methe magical realism completely missing demi moore grim lovers twotiming guys usually play villains though kind sexy appealingthere actually psychological explanation provided dual lives distasteful frisson elektra complex maybe magic explained genre workoriginally written
positive,thought rotj clearly best three star wars movies find surprising rotj considered weakest installment trilogy many voted seemed like rotj best profound plot suspense surprises emotionalespecially ending definitely episodic movie personally like empire strikes back lot also think slightly less good rotj since slowermoving episodic feel much suspense emotion third movieit also seems like reading surprising reviews reasons people cited rotj inferior film two plain ludicrous insignificant reasons compared sheer excellence film whole heard many strange reasons yoda died b bobba fett died c small ewoks defeated band stormtroopers darth vader revealedi would like debunk reasons believe miss point completely first cares bobba fett died george lucas wanted die wanted die get wrong fan bobba fett made cameo appearances lucas intention make central character films star wars fans made name even mentioned anywhere movie go credits find bobba fetts name judging rotj minor character died bit much think secondly many fans like yoda dying sure momentous period movie happy see die either makes movie realistic good guys stay alive realistic movie know otherwise good guys lived bad guys died movie would tantamount cheesy saturday morning cartoon another aspect point people liking yodas death well nobody complained darth vader struck obi wan kenobi new hope many consider new hope best trilogy obi wans death okay yodas hmmmmmmmmmmmm another reason believe even stated people found cute ewoks overpowering stormtroopers impossible utterly ridiculous believe one first ewoks native planet endor cognizant home terrain since live watch movie carefully many tactics ewoks used defeating stormtroopers excellent use home field advantage since lived forest life hope would learned use advantage swinging vines ropes logs set trip walkers traps stormtroopers highly disadvantaged outnumbered aware advantages forest thing blasters add like ewoks battling stormtroopers heavily assisted band rebels conquest thought stormtroopers defeated combination star wars heros band rebels well huge clan ewoks great familiarity home terrain would great upset lastly scene still unbelievable empire strikes back new hope several scenes group consisting han solo chewbacca princess shot like ten stormtroopers blasters missed heros full view heroes course always hit stormtroopers blasters troopers must bad aim least empire strikes back battle endor much believable since two armies pitted heroes legion stormtroopers believe check battle cloud city heroes escaping landos base heros rescuing princess leia shot somehow missedas han solo luke trying exit death starthe last reason care discuss others plain ridiculous spend time people like darth vader revealed well many ways major part plot movie luke trying find whether darth vader father annakin skywalker would disappointing movie ended without luke getting see fathers face made complete annakins revelation symbolized transition darth vader underwent possessed dark side helmet good person annakin skywalker removing helmet point annakin died converted light side meaning helmet removal scene fact would done scene lukes fatherisnt would done wanted see son eyes died mechanized helmeton another note think subconscious conscious expectation among people sequel must worse even better preceding movies another reason rotj get many accolades deserves never go film deception mind always try go film attitude well might better worse original know sure let us see way go open mind dupe thinking clearly superior film good really wasi sure criticizes movies asked many college students adults favorite star wars movie tell except one person said new hope favorite rotj believe results polls appalling quite misleadingbottom line return jedi best trilogy movie one three kept riveted throughout minutes moment boredom scene either suspenseful exciting surprising example emotional light saber battle luke father rotj better one empire strikes back dayfinally hope people go see phantom menace open mind fans start looking nitpicky insignificant details see another sequel trash movie movie stinks luke meritorious film become another spectacular movie subject derision like rotj suffered unfortunately
positive,crossfire remains one best hollywood message movies unlike admirably intentioned gentlemans agreement beat theatres months chooses send message via form excellent noir thriller rather outraged star constantly saying jewish much easier get message hate like loaded gun across dead bodies actual rather metaphorical somewhat shamefully brief featurette warners dvd mention novelist richard brooks disowned film shift homophobic murder antisemitic one interesting note victim killed primarily jewish little doubt sam levenes performance character fact also gay  mincing caricature definitely two lost souls aspect scenes george coopers confused soldier much mystery murderer even though killing carried classic noir shadows body language killer instantly recognisable film characters drift conclusion halfway point tension comes proving saving fall guytheres element ealing films gang soldiers teaming together get buddy fix could almost see aspect blueprint hue cry atmosphere pure rko noir set one long sweltering night film great look filled deep dark blacks shadows born much economy style cut back lighting time allowed director edward dmytryk time work actors excellent cast make fine script laidback quietly charismatic robert mitchum robert youngs maigretlike detective gloria grahames tramp perpetually creepy paul kelly compulsive liar admirer guy tries stories way people try ties lasting impression robert ryans excellent performance guy could good leaving alone best help wrongly accused man way death row big surprise hit reward dmytryk producer adrian scott found investigated huac notable tendency target jews much crusading
positive,movie basically well made production gives good impression war situation effects involved always interesting see story side change movie concentrates group german soldiers fighting north africa campaign send stalingrad russia one notorious bloodiest battles ww ii foughtits interesting see side battle since mainly always see germans simply villains movie villains given humane face voice sort makes realize true enemy war war necessarily fighting first kind hard concentrate movie always back mind germans evil villains course get accustomed quickly soon adapt germans main characters movie even start care interested themthe way story told however best hard keep track story times jumps one sequence location movie always logic storytelling features bit many sequences remain vague also time pretty hard keep characters apart see always makes movie easy watch hand plenty enough sequences moments present movie make worthwhile interesting one coherent one around regard hollywood movies always better european moviesthe production values high features good looking sets locations though movie even shot russia helps create good war time situation atmospherethe character mostly interesting although perhaps tad bit formulaic know reason formulaic characters always work fine war movies strenghtens drama realism also helps played well cast actors actors best known actors around thomas kretschmann also time still fairly unknown actor fit role well gives characters unique face personalityall best consistent ww ii drama around definitely worth look due original approach german side battle stalingrad good production values
negative,rented netflix somebody gave roger eberts book hated hated hated movie gave one rare zerostar rating book said end original review mad dog time cut provide free ukulele picks poor figured ebert saying would see really bad said know society says listen critics judge could express much hated piece junk like ebert never since eberts review rob reiners north said hated movie ten times ever heard brilliant hatred movie review richard dreyfuss gangster think would terrible see dreyfuss gangster screenplay movie written well things awful movie certainly tell script written well movie starts jeff goldblum saying enjoyed watching dreyfusss girlfriend dreyfuss criminal hospital movie starts decent dialog opening credits first minutes minutes consists dumb characters talking pointless garbage seconds someone gets shot whole bunch jokes dreyfuss mentally ill haha funny get unpleasant unfunny scene parodying frank sinatras way sang gabriel byrne apparently insult dreyfuss course screenplay written level sixth grader dreyfuss shoots byrne five times byrne die audience supposed even care find mildly funny certainly tell care find funny disappointed dreyfuss admire much actor producing starring tripe also extremely disappointed jeff goldblum released year independence day top grossing film year ultimately one successful films history goldblum feel independence day would flop take next role offered make money independence day bomb oscar winner star two biggest money making films history find remotely enjoyable opening sequence mad dog time says movie set another planet wish wasted minutes watching trash would stayed opened theaters planet supposedly takes place way everyone planet would never ridiculous waste minutes life never get back ebert saying movie cut good enough afraid every copy mad dog time gasoline poured lit fire yet top worst movie ever seen one honor worst movie ever
negative,boring film sum basically nana patekar beating daughterinlaw karisma kapoor tried flee village son someone say boring concept bad poorly executed canadian locales village scenes nicely shot however overall cinematography came short story could great movie seemed drag much stupidity person take let alone three bloody hours itthe best part whole movie song ishq kamina five minutes long movie piece crap
negative,rant start want believe first guess people talking say south korean cinema peaked may even going downhill surprisingly fun moving monster movie gwoemul aka host actually succeeded making sharp satire bmovie genre successive korean blockbusters become generic even though budgets mainly spent special effects become fantastic south korean moviemakers really want squander audience investor goodwill industry built since breakout film shiriswiri making whole series big budget mediocre movies like mainland china rant endthe reason fathom making movie dupe investors financing detailed fluid digital animation korean east asianstyled dragon seen date final scenes introduced dragon beginning given personality purpose like dragonheart movie might redeeming qualities lots digitally animated dragons remember dungeons dragons anyone learnt trick much special effects use well use hope better korean legends use killed lot international interest korean dragon legends way filmed onein short agree negative reviews gone wonder koreans felt folk anthem arirang played end creature feature would given least stars special effects action sequences worth seen many video games better camera work scripting less dragons
negative,native chinese accept kind idea people must die better world said better world lie chinese people indoctrinated thousand years guess western audience may know qin shihuangmeans first emperor king film notorious tyrant ancient china tianxiachinese word spoken king means land people spoken mouth totally lie one another king ancient china spoke thing saidanother fact qin shihuangs empire lasted twenty years destroyed peoplewell like beautiful scenes movie make accept idea people die tyrant
negative,great cast bigname stars like tyrone power henry fonda randolph scott nancy kelly henry hull brian donlevey bunch lesserbutknown names shorter roles also technicolor one movies made bad newsregrettably say much positive story portrayed james boys totally positive lightand hollywood done ever since criminals always shown good guys beyond film glamorizes made enemies railroad people vicious human beings latter exaggerated much preposterous well film world evil good good badhey hollywood news flash james boys criminals really look
positive,remember watching series avidly every saturday evening highlight week loved everything location costumes actors wonderful music clannad still legend album loved way solved problem michael praed leaving creating another robin time earl huntingdon believe legends several robins medieval times another thing loved fact filled young actors sure robin men would young people live long days robins always look old kevin costner ridiculous accent looked like robins granddad sad thing ending shame could least done one special tie loose ends give happier ending
negative,normally write reviews film special could turn believe ever seen worse movie sat watching like horrible car wreck blood flowing highway disgusting could turn away start movie seems think sports thriller utterly ridiculous comedy funny even dumbsilly way like watching cousins try act skit family gettogethers painful watch least minute two second string went hour whoever involved making movie work writing directing acting everything terrible problem describe bad see sure never shown unless saw luck mean almost worth seeing fact gave appreciation every bad film seen lifetime every film see future stand think well least bad second string
positive,would argue master animation director hayao miyazaki one hold abilityno many focused john lassiters amazing ability steal movies plots turn pretty puppet shows lauded genius digressmiyazaki given us film film deals important mature issues usually ecologically themed intelligent script even jaded viewer would normally despise film animated could thoroughly enjoy given chance still miyazaki almost never forgets undoubtedly audience movies childrenthat said loss think another filmmaker ability else going film three year old nephew link sit still throughout move enthralled year old niece amber loving able appreciate star power frankie jonas noah cyrus year old nephew aaron review course good everything miyazakisan good year old animation fan brought tears powerful directing gorgeous animation er would year old woman mother able connect mother characters betting older charas loving cuteness child charactersand respect miyazakisan seems speak audience completely different way average filmmaker surface ponyo could seen simple story little fishgirl gets taste human world wants join friend makes little boy names soske somewhat like little mermaid entire different level play true form miyazaki populates film intensely strong female characters ponyos mother soskes mother older ladies nursing home genuine characters minds extremely strong willedbut girl takes cake ponyo decides likes human world simply uses achieve dreams father trying keep innocent keep magical fish young ponyo knows wants becomes human simply determination human teams friend soske loves much although maybe much ham soske asked man house age five mother lisa decides help people rest home works typhoon inadvertently caused ponyo quest become human frankie jonas yes hes related jonas brothers get past please gives perhaps best performance film young soske good since lines character also strong willed also respectful friendly characteristics likely find child character side pacificin end ponyos father fujimoto must cope daughters decision estranges wifes wishes allow human hopes ponyo soske remember fondly miyazaki refuses allow character become stereotypical bad guy although miyazaki reason received criticism honestly makes movies magical yet relatable one real life completely bad person humans various shades gray exactly miyazaki characters animation time cgi would certainly helped copious amounts effects shots film especially water miyazaki chosen incorporate cgi whatsoever certainly hand drawn animation colored digital means every film handdrawn one extremely grateful character animation extremely fluid even appeared lipsync going quite unusual anime film backgrounds seemed rendered colored pencil effect audience animation used look like look like end found ponyo thoroughly enjoyable certainly miyazakis best opinion honor still held kikis delivery service still star fun movie entire family
positive,attractive marjoriefarrah fawcettlives fear accosted lone biker mortally shaken fact attacker knows address expected joejames russo attacker forces way marjories home subjects humiliating terror bruised bloody marjorie manages get upper hand attacker knocking living daylights jerk renders helpless thanks wasp spray eyes throat hog tied battered joe tries explain marjories roommatesdiana scarwid alfrie woodard get home almost hint mercy coming marjorie continue render punishment violence sexual abuse rough language makes r rating fawcett really gets away ditsy roles would forever stain career kudos director robert young
positive,find sad edward norton want film anything people automatically think movie sucks without even watching giving chance really hope norton fine actor scared people away decent moviei found entertaining mind blowing anything crazy special effects bad fun watch yea definitely badhorrible movie
negative,watched movie tv last night hoping realistic account could happen outbreak highly transmittable disease disappointed think movie garbage seem real acting awful particular doctor worst seen whole thing played like cnn worst case scenario even obligatory disaster movie human relations bits seem sincere seen disaster movies particular weather ones actually bad amusing one almost bad even amusing tedious boringdont bother one
positive,like think reasonably intelligent human beings love film good attention detail enjoy indie movies funny smartly written dialogue film youfor poor attention span high expectations brains well um may get bored find things dragging timesthis charming modest well paced movie actors bestowing real sense depth warmth roles chuckled pretty much whole way throughthis film little gem
positive,great caruso biggest hit world broke box office records radio city music hall year movergoers stayathomes watching new motorola televisions almost recent box office figures false fail adjust inflation obviously todays movies dominate cost radio city first run loews palace washington dc neighborhood runs counts number people responding picture unadjusted box office media spin genius great caruso filmmakers took actual life enrico caruso really great story anyway threw trash instead movies focus music thus mgm gave us best living opera singer mario lanza music bestever historic opera singer enrico caruso result wonderful movie bad lanza would throw life career away overeating fat play student prince edmund purdom took place lanzas voice dubbed formerly handsome notfat lanza pictured advertising want see great caruso almost always ebay less put low price reflects easy availability copies quality movie
positive,attended advance screening film sure expect kevin costner ashton kutcher delivered less memorable performances films underlying general storyline somewhat familiar film excellent costner kutcher delivered powerful performances playing extremely well human frailties strengths respective characters incredibly played scene costner confronts kutcher personal reasons kutcher joined coast guard rescue elite films unforgettable emotional moment specific storyline education depicting personal sacrifice demanding physical training elite coast guard rescuers must go preparation job responsibilityto save lives sea special effects rescue scenes extremely realistic wowingi seen angry seas since perfect storm costar clancy brown hbos carnivale great see played captain coast guards kodiak alaska base strong convincing role leader prerequisite necessary ice water veins film wonderfully finally gives long overdue exposure respect coast guard audience applauding end
negative,weapon expert even see difference us army riffles wwi wwii movie see privates armed garand invented year authentic springfield aka silent death privates use wwii difference load times ammunition times fire rate semi automatic springfield requires reloading every shot little difference german army uniforms borrowed year especially helmets german helmets end wwi significant pike top see even one movie make little additional search archives much truthful true story surprised much truthful film directors pursuit cheap propagation
negative,ever wonder worst movie ever made stop wondering telling michael itit heartwarming entertaining travolta best sucks kids would let watch deep throat michaela soldout john travolta washedup balding william hurt die time jean stapleton highlight turd filmbut waityoull get hear andie mcdowell sing yeah hollywood really st us one
negative,film began wheeler sneaking apartment girlfriend aunt edna may olivera person talented film like wheelera sentiment easily relate aunt decided take bland young lady abroad get away wheeler left wheeler invested revolution small mythical kingdom promised make king time woolsey small mythical kingdom made king wheeler arrived boys fight refused already friendswhich greatly disappointed people killing replacing kings national pastimei huge fan comedy golden age hollywoodthe silent era seen reviewed hundreds thousands films yet despite love appreciation films never able understand appeal wheeler woolseythe comedy team might bad ritz brothers despite successful short careers hollywood cut short due early death robert woolsey help notice practically every successful team basic ideas much better example many elements film reminiscent marx brothers film duck soup yet cracked nuts never made laugh duck soup silly highly enjoyable romp times woolsey talked bit like groucho jokes never punchlines even remotely funny fact seemed prattle pointlessly funny quality looked goofysurely enough reason put film additionally wheeler comedic appeal piece cheesea piece cheese sang poorly missed opportunity old vaudeville routine later popularized abbott costello first done film lacked spark wit timing fact soon started spiel ended routineso prematurely left frustrated knew first around many years used many teams really wanted see wheeler woolsey give fair shot give twistonce found yet another subpar film duo must admit liked films mildly silly billies rainmakerswhich actually gave imdb one major endurance test completesomething find happens often view films wheeler woolsey humor
negative,really hoping would funny show given hype clever preview clips talk hype even heard interview shows creator bbc world today show broadcast worldunfortunately show even come close delivering jokes obvious kind sound kind funny first time hear seem lame given new treatment twist characters onedimensional acting well mediocre nice classic cbc recipe one always failsif muslim think would stupid believe white characters white would probably offended little fact almost white characters portrayed either bigoted ignorant making fun white people problem better comedies rooted problem funny showcanada bursting funny people many export hollywood regular basis come producers show could find
negative,first mexican werewolf texas werewolf movie title bullcrap story actually chupacabra kills local villagers little town furlough texas suppose distributors renamed original title would make extra bucks something guess actually works reason bought piece crap sounded stupid anyway movie good actually bloody awful expect anything else bought low budget horror movie chupacabra monster enjoy low budget horror bad dialog actors gore check movie must warn movie really baaaaaaadthis movie worst acting ever seen actors try hard gets completely ridiculous almost never say line normal way always completely wrong tone everything say stupid almost looks like freakin parody like shot scene one single time happy worst blond girl supposed play bimbo worst never seen actor bad seen pteradactyl even boyfriend dies stop bimbo hate hersome shots movie actually quite good ones shot daytime pretty decent low budget project movie shot night chupacabra strikes lighting way dark gore scenes short really grizzly violent effects pretty hilarious really way like chupacabra looks pretty messed easy see guy suitoverall movie watched extreme fans low budget flicks important watch alone probably bored death recommend watching flick friends beer
negative,movie godawful literally chore watch wanted eject vcr throw across room kept thinking foolishly would eventually get funny everything would right lose win yay movie required viewing anyone even entertained thought jackie mason funny beat ove head movie tape cracks even considering renting turd worse yet one thing ask even look cover mean crap like tell glance bad oy vey movie sucked
positive,symbolic use objects form editing position characters scene used joyous abandon hitchcock really see fertile genius way wife moves one corner ring fight progresses editing wedding ring placed finger may seem bit obvious todays standards silent era spoke volumes story without word spoken even title least four meanings see boxing ring wedding ring bracelet lover buys love triangle heart story
positive,found movie good areas acting brilliant characters especially msstone morissey tramells character gets smarter psychologically twisted minute plot interesting even though movie mind playing main characters catherine continues writing new ways twists novels setting also fabulous whole atmosphere movie mysteriousthriller like masterpiece go see film deserves better got audience misled faulty terrible reviews moviebefore even startedyou regret itif go see
negative,rather like paul newman steve mcqueen racing car movies appearance jollies project robert redford gets ski hill dale alpine sunshinethe story light powdered snow redfords smalltown boy david chappellet kind lead name eyes prize olympic glory gets nose particular order coach father teammates women mere sideshow insular world evidenced fairly distasteful pickup scene old girlfriend hometown selfishly petulant pursuit heavens freethinking independent woman played camilla sparv skiing sequences fine good stuntwork involving numerous bumps scrapes piste effectiveness dimmed subsequent familiarity top tv coverage skiing events present day plus convinced winter olympics mass identification general public summer games redford eventually wins gold medal final reel could really excited one way anotherof actors redford best profile forward need much indeed gene hackman better equally meagre material ms sparv well chief female interest well treats redford way hes doubtless treated every woman chauvinistic wayin truth though lack dramatic tension throughout action sequences fully compensate care fig leading characters one films actors probably enjoyed making viewers watching
positive,would recommend film anyone searching relaxing funfilled thoughtprovoking movie absence sex vulgarities violence made pleasant evening especially enjoyed buffalo scene probably live short distance even film could produced city theme important grateful manna heaven dropped us try ityoull like
negative,art film either made national film preservation foundation says imdb says regardless exact date film definitely appears indicative general time periodwith camerawork pop art stylings pure late early film consists three simple images distorted using different weird camera tricks distorted images accompanied music absolutely dialog plot sort obviously intended almost like form performance art like performance art interesting first quickly becomes tiresome film put even bluntly total bore would appeal one perhaps made film family friends perhaps people hip understood us mortals
positive,read book saw movie excellent movie diamond among coals era liebman selby dominate screen communicate intensity characters without flaw film made stars shame studio putting everything behind film could easily franchise release dvd must worthy remake would revive film look tv guide see listed matter late watch disappointed another favor read book title blow away times changed dramatically since days least like think
positive,drifter looking job mistaken hit man small wyoming town leading kinds complications cage perfectly cast unlucky schmuck hoping make quick buck get town finding escape title town hopper best playing psycho known lyle dallas real hit man walsh crooked sheriff boyle femme fatale round fine cast script brothers john rick dahl contains delicious twists turns johns direction creates terrific neo noir atmosphere witty entertaining sucks viewer start never let us
positive,really liked movie seen several gene kelly flicks one best would actually put famous american paris sometimes seems story gets lost gene kelly movies wonderful dance song numbers movie definitely worth renting
negative,although promoted one sincere turkish films amateur cast icecream scream like caricature sinceritythe plot opens dream ali traveling icecream salesman western anatolia town sees becoming successful using marketing methods big icecream companies dreams playing products tv commercial beautiful models bikinis dancing around dream turns nightmare wakes big erection next gargantuan wife rejects make sex years apparent reason successful job apparently says selling better old days pressure global icecream companies says actually see suffer much still sells good traveling neighboring villages apprentice stays shop selling icecream people town ali blames big companies using sweetening coloring agents using real sahlep powdered roots mountain orchids ali buys motorbike bank loan traveling vendor gives ads local tv channel prefers broadcast even news bulletin local dialect wife fond ways business always quarrel ali threatens may bad things moment frenzyin successful day lousy bike stolen misbehaving little boys town search stolen bike ali goes police blames big companies theft course nobody takes seriously annoyed nagging wife ali goes tavern becomes drunk one friends table wannabe socialist town gives didactic speech criticizes globalism real connection jumps subject global freezing ali returns home decides kill poison wife wakes prevents old neighbor takes night walk advises life according ali even sell hot sahlep drink world faces global freezing returns home suddenly see wife understood value treating like hero praising manhood meanwhile thief boys got sick eating much icecream confess doctor stole alis bike ali forgives comes happy endalthough plot may look promising way storytelling makes film insincere cheesy first director show much effort tell story visually everything based dialogs dialogs never stop show us cinema actually visual art even alis troubles convincing see understand words director markets film righteous fight ali big icecream companies nothing film big companies see pressure enough film actually ridicules ali believing big companies behind theft motorbike found solves every problem ali becomes happy powerful husband real criticism globalismsecond film cheesy crude humor maybe people part turkey cursing much making many vulgar jokes daily life vulgar language crude humor enough make film funny may accepted vulgar clever clever jokes cheesy maybe wrong maybe american people may like oriental version american pie style humor american pie never claim nominee oscars political message think laugh seeing mans big erection shorts endure joke twice old villager woman saying fk may find film funny
negative,stan laurel oliver hardy famous comedy duo history deservedly happy see films ollie recovering broken leg hospital nothing else stan decides visit take boiled eggs nuts instead candy chaos begins stan curiously pulling ollies leg cast string manages push doctor billy gilbert window clinging getting ollie strung ceiling situation calms stan gets ollies clothes doctor wants leave also manages sit syringe accidentally left nurse filled sleeping drug comes effect driving tell done car front large screen filled likable slapstick bad although repetitive little predictable classic comedy great black white film worth looking stan laurel oliver hardy number comedians comedian okay
negative,ok admit quite enjoyed house dead despite well documented failings however worst film seen since demons door compared datd effects vastly superior however plot weak acting reminiscent everyone favourite porn film decisions actions characters consistently verge moronic feel like trying uwe bolls latest cinematic outings get sense perspective suggesting really cure case different disease senses insulted abhorrent manner way ok managed ten line minimum shall waste time waste celluloid house dead
positive,unlike reviewers born born may despite life much style kids playstations playing zelda nes etc movie holds special place heart already despite years old time writing review style early childhood watched many tv shows saw many movies kids see movie one one greatest tooit starts los angeles home alvin seville simon seville theodore seville david seville david chipmunks adoptive father rush get airport going business trip around europe taxi almost chipmunks help pack talking alvin expresses come dave see world even though technically dave going europe alvin apparently america europe qualify world david leaving chipmunks care miss miller much displeasure boys soon dave airport chipmunks left home miss miller later local café chipmunks playing game around world days chipettesbrittany jeanette eleanore losing game brittany hot air balloon eaten sky crocodile alvin gets argument brittany would really win race around world two diamond smugglers sitting nearby table klaus claudia furschtien overhear argument needing safe way transporting diamonds world decide fool children delivering set race around world team deposit doll likeness secretely filled diamonds drop offs around world receive doll opposing teams likeness secretely filled payment diamonds varify winning team would receive dollar reward believe jamal interpol agent hot heels times would never suspect kids however seems redundant travels kids go security checks never even questioned dolls suspect neither would klaus claudia taken diamonds personally begins great adventure film classic see reason anyone would like features great animation topnotch voice acting mention kickass music pardon french p favorite song without shred doubt girls boys rock roll amazing rock song topped also favorite moment film notable songs include getting luckykind suggestive kids film eh mother well wooly bully see world mention main theme movie heard opening credits performed royal london philharmonic orchestra scene mother still brings tear eye relation song getting lucky first think anything grew older learned life became clear song little bit suggestive song along fact animators insist audience knowing color chipettes panties especially apparent scene egypt chipettes chased arabian princes men eleanor leans side hot air balloon basket skirt defies gravity completely nothing draw overall quality film one unexplained things like nobody world seems mind feet tall chipmunks walking around speaking incredibly highpitched voices treat like would human child anyway bit scene chipettes discover diamonds dolls decide go find chipmunks get home direction janice karman perfects movie husband ross bagdasarian jr know characters better anyone even voices chipmunks chipettes ross voices alvin simon well dave janice voices chipettes theodore speaking male characters voiced female voice actresses nancy cartwright voice bart simpson makes appearance movie plays part arabian prince small important role ending course happy one crooks caught loose ends tied film ends children dave miss miller driving sunset alvin complaining gotten dollar reward winning race annoys dave finally yells alvin screen fades blackclassic ending way hope found review movie useful seen flick give watch worth money nostalgic classic gets solid headin top know never stop believing
negative,thought would finish whole year without giving single movie bomb rating friend brought notorious turd house last night feared worst knowing reputation godawful id anticipated mexicanmade mess dubbed english produced k gordon murray got terrible sets effects features rather frightening santa operate north pole instead cloud outer space little elves helping make toys rather different groups children practically every country opening sequence st nick chuckles heartily observes monitors showing kiddies working hard singing terrible holiday songs variety languages seems go forever story obviously santa claus observe child labor lawseventually get nasty slinky redsuited apprentice devil traveling hell earth make little kids naughty turn santas christmas eve rounds nightmare watching movie trippy twisted experience bound frighten little children turn santa claus holidays forever oddly name jesus christ mentioned often christmas film somehow makes creepier context bizarre things going easily makes personal list worst movie ever seen sure nothing unique
positive,often case attempt take plus page book cram two hour film lot lost director john madden shakespeare love takes extremely ambitious project almost pulls get charming emotionally compelling film seems somehow incompletethere much film wonderful fantastic cinematography john toll cinematographer braveheart legends fall winning oscars splendid working madden choices locations greek island kefallonia superb visual images come photographing majestic locations varying light lush beautiful madden also uses numerous greek actors townspeople giving town authentic feel soundtrack also terrific mandolin passages vocals italian soldiers marvelousmadden excellent job bringing us italian occupation romance take greater part film numerous sweet funny moments throughout segment however time serious battle drama ready unfold much film left reel component extremely rushed abbreviated battle scenes well done subsequent battle obvious increasingly greater compromises made keep film running long time reach post war scenes treatment merely skeletal another negative dvd particularly sparse featuresnicholas cage charming romantic lead sentimental captain seems joined army sing rather fight fight must cage switches gears seamlessly man fierce principle resolve somehow remains believable personaspenelope cruz camera loves gives uninspired performance pelagia part cage dominates screen cruz seems placid part emotionally torrential dynamic allows character objectified corellis love interest rather establishing powerful character rightjohn hurt gives fantastic performance wise old doctor knows much human nature medicine however christian bale seems bit overwrought stiff pelagias fiancéi rated film despite drawbacks touching film well worth seeing photography alone worth price admission
positive,father grew grew watching george reeves superman little kid episodes vhs let view including movie passing family loved itclark kent lois lane get sent small town oil mine mine emerge mole men radioactive targeted town assumed deadly superman stop mayhemits wonderful fun view old style special effects sound crew pulled beauty little technology george reeves hero little kid goes show timeless classic adventures
positive,unpretentious horror film probably destined become cult classic much much better scream ripoffs even hope come sequel
positive,read book watching movie left emotionally drained felt truly transported afghanistan culture know little great hopes movie disappoint watched someone read book also enjoyed shorten things movie well acted well shot film leaves thinking movie long feel characters plights highly recommend movie like emotionally draining drama want experience afghani culture disturbing scenes suitable children watch heavy drama depicting horrors life restrictive regime
negative,years ago sara young girl witnessed parents murdered adult suffers various mental ailments mention imaginary friend film lulls viewer sense tension mind rather sense sleepiness deathly boring found hard sit could feel eyelids growing heavier heavier endless minute mindless prattle supposed mystery sara going crazy paranormal better question would cares answer one one skip film save time better suited worthwhile tasksmy grade
positive,short want watch burt reynolds best films one must included like burt may still like love burt may become one favorite movies time atlanta hit home also nice see copactiondrama takes place somewhere ny city chicago miami la film funny points good plot good performances great supporting cast every character real bad guys one sided really well thought outa nice offbeat romance half good old fashion shootouts fistfights cgi thank god real actionif clint eastwood best impression burt reynolds movie every way loose way burt responded best clint type flick comes great
positive,watched love jones thirty times one rare films depict love story people happen africanamericans dialogue realistically written delivered honesty nice see film story line centered young professional africanamericans virtually untapped market love jones visually captivating well chemistry lorenz tate nia long bring memories past present love feeling film jazz blues brings mine sensuality warm creamy hot chocolate splash kahlua butterscotch guessed loved
